k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff,F,localization,adj_arrangement,adj_diffmag
3.0,0.03,5.0,100.0,0.6,0,5000,0.2613719403743744,3.195201034007554,0.08936748090426902,0.03,0.11999232953994508,0.10093584059360755,1.2276803383938129
3.0,0.03,5.0,100.0,0.6,0,10000,0.3273642659187317,3.11541056790619,0.12278761096802245,0.03,0.2015846243232927,0.12097586895647096,1.147438721686474
3.0,0.03,5.0,100.0,0.6,0,15000,0.3301997780799866,3.1293900185720562,0.13791982002988123,0.03,0.3263717132559515,0.12319586499460296,1.0263121993903759
3.0,0.03,5.0,100.0,0.6,0,20000,0.2967929244041443,3.206090843245245,0.1516832865635317,0.03,0.4535774624038442,0.11570110380265083,0.9677372792257225
3.0,0.03,5.0,100.0,0.6,0,25000,0.20423975586891174,3.281644004001304,0.15772856606311847,0.03,0.5590210957671474,0.10426710280387833,0.9479226536574176
3.0,0.03,5.0,100.0,0.6,0,30000,0.1975345015525818,3.241232893737546,0.1600858448616995,0.03,0.623598061165442,0.0895084333702957,0.9580894956845268
3.0,0.03,5.0,100.0,0.6,0,35000,0.18231625854969025,3.2630124565771763,0.16259520616341477,0.03,0.6644990851809792,0.08581409090254538,0.9240251273226913
3.0,0.03,5.0,100.0,0.6,0,40000,0.2214680016040802,3.2079371571332027,0.1641920724463245,0.03,0.6938052017804013,0.07667309921640494,0.9144735305819672
3.0,0.03,5.0,100.0,0.6,0,45000,0.15566006302833557,3.2848478115878437,0.1654847737229657,0.03,0.7155246752916069,0.06716458391605183,0.8969360221331495
3.0,0.03,5.0,100.0,0.6,0,50000,0.1843387633562088,3.3033648808470613,0.16651133061912193,0.03,0.7317361805046473,0.0660535439598884,0.8752777242574409
3.0,0.12,0.06,1.2,50.0,0,5000,0.18906909227371216,3.115583540552428,0.08389251079143568,0.19,0.0785281531700582,0.0985591850445658,1.5582003297770184
3.0,0.12,0.06,1.2,50.0,0,10000,0.32415902614593506,3.02535370517967,0.0995189879884808,0.19,0.12131457720727783,0.14911499176271967,1.054144448488633
3.0,0.12,0.06,1.2,50.0,0,15000,0.26850977540016174,3.1096281371021757,0.10294084430900163,0.19,0.17764355603344867,0.1480593612831055,0.9012880321346435
3.0,0.12,0.06,1.2,50.0,0,20000,0.2773028016090393,3.1560714733831516,0.10442364871456065,0.19,0.23966373178690187,0.14850195881302866,0.8348651885081546
3.0,0.12,0.06,1.2,50.0,0,25000,0.2359551638364792,3.1851082525645023,0.104917916849747,0.19,0.2985487290804605,0.14345174792245852,0.7983748397164695
3.0,0.12,0.06,1.2,50.0,0,30000,0.22793450951576233,3.2132284838158354,0.10602051499747038,0.19,0.34939698490130716,0.13827495326309824,0.7689450945638723
3.0,0.12,0.06,1.2,50.0,0,35000,0.1651194542646408,3.2313861685598857,0.1068569687647088,0.19,0.3910918777927244,0.1346311599363411,0.760012562218281
3.0,0.12,0.06,1.2,50.0,0,40000,0.13954833149909973,3.245910705652594,0.10735123689989516,0.19,0.4244528273700078,0.13321361455313477,0.7195033543551401
3.0,0.12,0.06,1.2,50.0,0,45000,0.14685948193073273,3.2588675444406237,0.10799758753821576,0.19,0.45092149075925797,0.13208947962148895,0.696731500661304
3.0,0.12,0.06,1.2,50.0,0,50000,0.13470974564552307,3.2744402287551635,0.10871997942810348,0.19,0.47197173935292286,0.13021959779029274,0.6882037429458057
3.0,0.06,0.06,1.2,50.0,0,1,nan,nan,nan,3.0,nan,nan,nan
3.0,0.06,0.06,1.2,50.0,0,5000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.06,0.06,1.2,50.0,0,10000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.06,0.06,1.2,50.0,0,15000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.06,0.06,1.2,50.0,0,20000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.06,0.06,1.2,50.0,0,25000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.06,0.06,1.2,50.0,0,30000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.06,0.06,1.2,50.0,0,35000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.06,0.06,1.2,50.0,0,40000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.06,0.06,1.2,50.0,0,45000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.06,0.06,1.2,50.0,0,50000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.25,5.0,100.0,0.6,0,5000,0.19558082520961761,2.9704377573713443,0.08739040836352364,0.08,0.13947496529306697,0.15596949717637765,0.897021550459771
3.0,0.25,5.0,100.0,0.6,0,10000,0.2701740562915802,3.104809369232515,0.07761910753714749,0.08,0.19166250772379714,0.15404845688380725,0.8074945295723218
3.0,0.25,5.0,100.0,0.6,0,15000,0.21429353952407837,3.166277501192517,0.07742900440822968,0.08,0.22838251328264111,0.1517652275827541,0.7199490987776613
3.0,0.25,5.0,100.0,0.6,0,20000,0.17116065323352814,3.2028624037214364,0.0768586950214762,0.08,0.2551417819205266,0.15352256779259266,0.7042040604307717
3.0,0.25,5.0,100.0,0.6,0,25000,0.13939833641052246,3.2327964888895497,0.07636442688628986,0.08,0.27492996547730963,0.15249795180133122,0.6374932292428827
3.0,0.25,5.0,100.0,0.6,0,30000,0.13393926620483398,3.2564102709873053,0.0767446331441255,0.08,0.2899914097988078,0.15105400046682027,0.6137419168966146
3.0,0.25,5.0,100.0,0.6,0,35000,0.0818534791469574,3.2768905691394536,0.07769514878871463,0.08,0.3018343150571891,0.15099345088508526,0.6016795157771435
3.0,0.25,5.0,100.0,0.6,0,40000,0.09470993280410767,3.28479127556649,0.0780373344207667,0.08,0.31139358016761337,0.15061288023219666,0.583742443362235
3.0,0.25,5.0,100.0,0.6,0,45000,0.0934600830078125,3.286824487699071,0.07872170568487087,0.08,0.3190510595186448,0.14998572931865953,0.5757405674358043
3.0,0.25,5.0,100.0,0.6,0,50000,0.07672535628080368,3.2899339981127103,0.07948211820054217,0.08,0.32520198423413715,0.14950043586296646,0.5731369694240699
3.0,0.25,15.0,300.0,0.2,0,1,nan,nan,nan,3.0,nan,nan,nan
3.0,0.25,15.0,300.0,0.2,0,5000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.25,15.0,300.0,0.2,0,10000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.25,15.0,300.0,0.2,0,15000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.25,15.0,300.0,0.2,0,20000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.25,15.0,300.0,0.2,0,25000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.25,15.0,300.0,0.2,0,30000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.25,15.0,300.0,0.2,0,35000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.25,15.0,300.0,0.2,0,40000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.25,15.0,300.0,0.2,0,45000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.25,15.0,300.0,0.2,0,50000,nan,nan,nan,3.0,nan,nan,nan
3.0,0.03,5.0,100.0,0.6,0,1,nan,nan,nan,0.48,nan,nan,nan
