k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff,F,localization
3.0,0.03,5.0,100.0,0.6,0,5000,0.2842661738395691,445.3172607421875,0.5577105512806999,0.03,0.6251290827940266
3.0,0.03,5.0,100.0,0.6,0,10000,0.2971027195453644,425.0760803222656,0.7111837250975018,0.03,1.0305550344303576
3.0,0.03,5.0,100.0,0.6,0,15000,0.24415843188762665,437.4861755371094,0.881732897649415,0.03,1.3124755986004508
3.0,0.03,5.0,100.0,0.6,0,20000,0.3578086197376251,442.2598876953125,0.9700642985137556,0.03,1.6045383152474306
3.0,0.03,5.0,100.0,0.6,0,25000,0.15630391240119934,442.5701599121094,1.0,0.03,1.9561265489971897
3.0,0.03,5.0,100.0,0.6,0,1,nan,nan,nan,0.03,nan
3.0,0.12,0.06,1.2,50.0,0,5000,0.18252086639404297,407.01348876953125,0.7061484335734629,0.19,1.5480229116324944
3.0,0.12,0.06,1.2,50.0,0,10000,0.2873634099960327,391.89703369140625,0.9145585525213603,0.19,3.467014453510702
3.0,0.12,0.06,1.2,50.0,0,15000,0.21363726258277893,409.7456359863281,0.937007874015748,0.19,6.061145388102054
3.0,0.12,0.06,1.2,50.0,0,20000,0.30272573232650757,422.0093078613281,0.9651532920087117,0.19,8.910022973830696
3.0,0.12,0.06,1.2,50.0,0,25000,0.15636442601680756,430.1070556640625,1.0,0.19,11.57991091579431
3.0,0.12,0.06,1.2,50.0,0,1,nan,nan,nan,0.19,nan
3.0,0.06,0.06,1.2,50.0,0,1,nan,nan,nan,3.0,nan
3.0,0.06,0.06,1.2,50.0,0,5000,nan,nan,nan,3.0,nan
3.0,0.06,0.06,1.2,50.0,0,10000,nan,nan,nan,3.0,nan
3.0,0.06,0.06,1.2,50.0,0,15000,nan,nan,nan,3.0,nan
3.0,0.06,0.06,1.2,50.0,0,20000,nan,nan,nan,3.0,nan
3.0,0.06,0.06,1.2,50.0,0,25000,nan,nan,nan,3.0,nan
3.0,0.25,5.0,100.0,0.6,0,5000,0.2544184923171997,367.4136657714844,0.9449456396021282,0.08,0.31320535756481194
