# k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff,F,localization
3.000000000000000000e+00,3.980999886989593506e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,1.000000000000000000e+02,1.000000000000000000e+00,3.187099844217300415e-02,4.569079589843750000e+02,5.505800936291471714e-01,0.000000000000000000e+00,7.540248431731738079e-04
3.000000000000000000e+00,3.980999886989593506e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,1.000000000000000000e+02,5.000000000000000000e+03,2.386452108621597290e-01,3.611490173339843750e+02,1.000000000000000000e+00,0.000000000000000000e+00,3.336994349389811987e+00
3.000000000000000000e+00,3.980999886989593506e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,1.000000000000000000e+02,1.000000000000000000e+04,1.641416251659393311e-01,3.931296997070312500e+02,7.419092204355790532e-01,0.000000000000000000e+00,7.356501600696912391e+00
3.000000000000000000e+00,3.980999886989593506e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,1.000000000000000000e+02,1.500000000000000000e+04,6.963641941547393799e-02,4.104477844238281250e+02,6.381029920618767060e-01,0.000000000000000000e+00,1.085428157171977581e+01
3.000000000000000000e+00,3.980999886989593506e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,1.000000000000000000e+02,2.000000000000000000e+04,5.696178600192070007e-02,4.171195373535156250e+02,6.165275798900875515e-01,0.000000000000000000e+00,1.308772395679404532e+01
3.000000000000000000e+00,3.980999886989593506e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,1.000000000000000000e+02,2.500000000000000000e+04,3.948038816452026367e-02,4.193520812988281250e+02,6.165275798900875515e-01,0.000000000000000000e+00,1.418271611197120485e+01
3.000000000000000000e+00,3.980999886989593506e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,3.000000000000000000e+02,1.000000000000000000e+00,3.291445225477218628e-02,4.568808288574218750e+02,6.629051620648259702e-01,0.000000000000000000e+00,4.770304707858055542e-03
3.000000000000000000e+00,3.980999886989593506e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,3.000000000000000000e+02,5.000000000000000000e+03,1.712410598993301392e-01,3.826960754394531250e+02,1.000000000000000000e+00,0.000000000000000000e+00,2.512873477494474095e+00
3.000000000000000000e+00,3.980999886989593506e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,3.000000000000000000e+02,1.000000000000000000e+04,1.191980689764022827e-01,4.069312438964843750e+02,7.680672268907563494e-01,0.000000000000000000e+00,9.467002144458197321e+00
3.000000000000000000e+00,3.980999886989593506e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,3.000000000000000000e+02,1.500000000000000000e+04,2.005095966160297394e-02,4.147051086425781250e+02,6.941176470588235059e-01,0.000000000000000000e+00,1.658331019176203824e+01
3.000000000000000000e+00,3.980999886989593506e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,3.000000000000000000e+02,2.000000000000000000e+04,1.229488383978605270e-02,4.211397399902343750e+02,6.624249699879951603e-01,0.000000000000000000e+00,2.231975770308098106e+01
3.000000000000000000e+00,3.980999886989593506e-01,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,3.000000000000000000e+02,2.500000000000000000e+04,8.630428463220596313e-03,4.237998046875000000e+02,6.605042016806722538e-01,0.000000000000000000e+00,2.600176770774828938e+01
3.000000000000000000e+00,1.585000008344650269e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,2.000000000000000000e+02,1.000000000000000000e+00,2.325254678726196289e-02,4.577285766601562500e+02,5.297721615929542605e-01,0.000000000000000000e+00,8.395316796756523712e-04
3.000000000000000000e+00,1.585000008344650269e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,2.000000000000000000e+02,5.000000000000000000e+03,2.412194311618804932e-01,3.642941894531250000e+02,1.000000000000000000e+00,0.000000000000000000e+00,4.455771854304778401e+00
3.000000000000000000e+00,1.585000008344650269e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,2.000000000000000000e+02,1.000000000000000000e+04,1.209612861275672913e-01,3.762894287109375000e+02,8.127512923607121964e-01,0.000000000000000000e+00,1.607606060909283485e+01
3.000000000000000000e+00,1.585000008344650269e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,2.000000000000000000e+02,1.500000000000000000e+04,3.152211382985115051e-02,4.033271789550781250e+02,7.193183993873253357e-01,0.000000000000000000e+00,2.690332495580876326e+01
3.000000000000000000e+00,1.585000008344650269e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,2.000000000000000000e+02,2.000000000000000000e+04,2.054392546415328979e-02,4.240449829101562500e+02,6.890675856787287223e-01,0.000000000000000000e+00,3.270804434291431306e+01
3.000000000000000000e+00,1.585000008344650269e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,2.000000000000000000e+02,2.500000000000000000e+04,2.235740795731544495e-02,4.312804565429687500e+02,6.837066819835343479e-01,0.000000000000000000e+00,3.424488822511107600e+01
3.000000000000000000e+00,6.310000270605087280e-02,1.584899999999998421e+01,3.169799999999996771e+02,1.892863903000001624e-01,3.000000000000000000e+02,1.000000000000000000e+00,1.888049021363258362e-02,4.556611022949218750e+02,4.785243272144003024e-01,0.000000000000000000e+00,2.178452947108171098e-05
3.000000000000000000e+00,6.310000270605087280e-02,1.584899999999998421e+01,3.169799999999996771e+02,1.892863903000001624e-01,3.000000000000000000e+02,5.000000000000000000e+03,2.445149123668670654e-01,4.566019287109375000e+02,9.579397611833897486e-01,0.000000000000000000e+00,2.094057715962883925e+00
3.000000000000000000e+00,6.310000270605087280e-02,1.584899999999998421e+01,3.169799999999996771e+02,1.892863903000001624e-01,3.000000000000000000e+02,1.000000000000000000e+04,6.463225930929183960e-02,4.610057678222656250e+02,8.146497950454464343e-01,0.000000000000000000e+00,6.829592275070400120e+00
3.000000000000000000e+00,6.310000270605087280e-02,1.584899999999998421e+01,3.169799999999996771e+02,1.892863903000001624e-01,3.000000000000000000e+02,1.500000000000000000e+04,5.162141099572181702e-02,4.644076538085937500e+02,9.386918552842630215e-01,0.000000000000000000e+00,9.537824448396021282e+00
3.000000000000000000e+00,6.310000270605087280e-02,1.584899999999998421e+01,3.169799999999996771e+02,1.892863903000001624e-01,3.000000000000000000e+02,2.000000000000000000e+04,4.994349181652069092e-02,4.661651306152343750e+02,9.989306718944929164e-01,0.000000000000000000e+00,8.995970737034573617e+00
3.000000000000000000e+00,6.310000270605087280e-02,1.584899999999998421e+01,3.169799999999996771e+02,1.892863903000001624e-01,3.000000000000000000e+02,2.500000000000000000e+04,4.422086849808692932e-02,4.682891235351562500e+02,1.000000000000000000e+00,0.000000000000000000e+00,8.698198157716559464e+00
3.000000000000000000e+00,1.000000000000000000e+00,2.511890000000001955e+00,5.023780000000004264e+01,1.194319815000000062e+00,3.000000000000000000e+02,1.000000000000000000e+00,5.075331404805183411e-02,4.600864868164062500e+02,5.247258033480853845e-01,0.000000000000000000e+00,9.616791037254892769e-05
3.000000000000000000e+00,1.000000000000000000e+00,2.511890000000001955e+00,5.023780000000004264e+01,1.194319815000000062e+00,3.000000000000000000e+02,5.000000000000000000e+03,1.288738250732421875e-01,4.052741699218750000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.772230699133678034e-01
3.000000000000000000e+00,1.000000000000000000e+00,2.511890000000001955e+00,5.023780000000004264e+01,1.194319815000000062e+00,3.000000000000000000e+02,1.000000000000000000e+04,5.928665399551391602e-02,4.205575256347656250e+02,8.549162978641523525e-01,0.000000000000000000e+00,3.232759106880453981e+00
3.000000000000000000e+00,1.000000000000000000e+00,2.511890000000001955e+00,5.023780000000004264e+01,1.194319815000000062e+00,3.000000000000000000e+02,1.500000000000000000e+04,3.708595782518386841e-02,4.191471557617187500e+02,8.579949971137194042e-01,0.000000000000000000e+00,4.340190736398246152e+00
3.000000000000000000e+00,1.000000000000000000e+00,2.511890000000001955e+00,5.023780000000004264e+01,1.194319815000000062e+00,3.000000000000000000e+02,2.000000000000000000e+04,3.107449784874916077e-02,4.185094604492187500e+02,8.706946315181836038e-01,0.000000000000000000e+00,4.620038698112319153e+00
3.000000000000000000e+00,1.000000000000000000e+00,2.511890000000001955e+00,5.023780000000004264e+01,1.194319815000000062e+00,3.000000000000000000e+02,2.500000000000000000e+04,3.567496687173843384e-02,4.182940673828125000e+02,8.791610544544929962e-01,0.000000000000000000e+00,4.735515005684428402e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+00,2.300027199089527130e-02,4.557598266601562500e+02,6.038915913829048243e-01,0.000000000000000000e+00,3.340707495399232452e-02
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,2.000000000000000000e+02,5.000000000000000000e+03,9.199780970811843872e-02,4.260226440429687500e+02,7.433402826036599187e-01,0.000000000000000000e+00,7.793431719472733166e-01
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+04,9.891223907470703125e-02,3.723034973144531250e+02,1.000000000000000000e+00,0.000000000000000000e+00,1.793715478096719051e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,2.000000000000000000e+02,1.500000000000000000e+04,9.974128752946853638e-02,3.967974548339843750e+02,8.503590456335418102e-01,0.000000000000000000e+00,3.751060249731237750e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,2.000000000000000000e+02,2.000000000000000000e+04,9.099471569061279297e-02,4.098876037597656250e+02,8.197822561964327459e-01,0.000000000000000000e+00,5.937065302167932934e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,2.000000000000000000e+02,2.500000000000000000e+04,6.750991195440292358e-02,4.221802978515625000e+02,8.100532777391706851e-01,0.000000000000000000e+00,7.985218339000169863e+00
3.000000000000000000e+00,1.585000008344650269e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,5.000000000000000000e+01,1.000000000000000000e+00,2.302490174770355225e-02,4.575467834472656250e+02,4.787443946188340571e-01,0.000000000000000000e+00,8.396857739202390463e-04
3.000000000000000000e+00,1.585000008344650269e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,5.000000000000000000e+01,5.000000000000000000e+03,1.478668153285980225e-01,3.378521118164062500e+02,1.000000000000000000e+00,0.000000000000000000e+00,2.973202108300050384e+00
3.000000000000000000e+00,1.585000008344650269e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,5.000000000000000000e+01,1.000000000000000000e+04,1.680691987276077271e-01,3.535006103515625000e+02,7.829596412556053542e-01,0.000000000000000000e+00,7.117453432472817809e+00
3.000000000000000000e+00,1.585000008344650269e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,5.000000000000000000e+01,1.500000000000000000e+04,1.099814176559448242e-01,3.857093200683593750e+02,6.645739910313901433e-01,0.000000000000000000e+00,1.164013452708753071e+01
3.000000000000000000e+00,1.585000008344650269e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,5.000000000000000000e+01,2.000000000000000000e+04,7.855295389890670776e-02,4.138697204589843750e+02,5.791928251121076787e-01,0.000000000000000000e+00,1.510850510001008473e+01
3.000000000000000000e+00,1.585000008344650269e-01,3.980999999999997319e-01,7.961999999999994415e+00,7.535795026400001539e+00,5.000000000000000000e+01,2.500000000000000000e+04,6.309657543897628784e-02,4.193291320800781250e+02,5.368609865470852505e-01,0.000000000000000000e+00,1.725390360124607270e+01
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+00,2.201912738382816315e-02,4.572250366210937500e+02,6.127985161140737658e-01,0.000000000000000000e+00,3.344946945274950012e-02
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+03,8.049869537353515625e-02,4.244699401855468750e+02,7.458845351263622137e-01,0.000000000000000000e+00,7.798973895640113341e-01
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+04,1.733072251081466675e-01,3.706350097656250000e+02,1.000000000000000000e+00,0.000000000000000000e+00,1.390883557513607816e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,1.000000000000000000e+02,1.500000000000000000e+04,2.009861022233963013e-01,3.778496093750000000e+02,8.924182703454671683e-01,0.000000000000000000e+00,2.649716677104143603e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,1.000000000000000000e+02,2.000000000000000000e+04,9.810025990009307861e-02,4.061197204589843750e+02,8.047762578251796972e-01,0.000000000000000000e+00,4.191170951181483417e+00
3.000000000000000000e+00,1.585000008344650269e-01,1.000000000000000368e-02,2.000000000000000666e-01,3.000000000000000000e+02,1.000000000000000000e+02,2.500000000000000000e+04,8.225844800472259521e-02,4.136757202148437500e+02,7.537676791096684648e-01,0.000000000000000000e+00,5.880124843436853155e+00
3.000000000000000000e+00,2.510000020265579224e-02,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,2.000000000000000000e+02,1.000000000000000000e+00,1.599277928471565247e-02,4.545182189941406250e+02,4.261080018151565674e-01,0.000000000000000000e+00,5.668190914336979427e-03
3.000000000000000000e+00,2.510000020265579224e-02,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,2.000000000000000000e+02,5.000000000000000000e+03,1.319801509380340576e-01,5.204499511718750000e+02,7.452730297988201524e-01,0.000000000000000000e+00,1.902866756940468251e+00
3.000000000000000000e+00,2.510000020265579224e-02,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,2.000000000000000000e+02,1.000000000000000000e+04,1.491863429546356201e-01,5.009059143066406250e+02,6.121615489335955340e-01,0.000000000000000000e+00,7.929317935811130091e+00
3.000000000000000000e+00,2.510000020265579224e-02,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,2.000000000000000000e+02,1.500000000000000000e+04,1.128553450107574463e-01,5.024521484375000000e+02,7.676599606716079105e-01,0.000000000000000000e+00,1.552546803587708091e+01
3.000000000000000000e+00,2.510000020265579224e-02,6.310000000000001719e-02,1.262000000000000233e+00,4.754358161649998493e+01,2.000000000000000000e+02,2.000000000000000000e+04,1.196012347936630249e-01,4.803655700683593750e+02,8.880653456360610987e-01,0.000000000000000000e+00,1.980185560261912414e+01
