k,D,alphabeta,alpha,beta,epsilon,t,hondadelta,sos_dist,area_diff,F
3.0,0.01,15.849,316.98,0.1892863903085368,0,1,0.015885094180703163,456.4688415527344,0.2536980184203182,0.01
3.0,0.01,15.849,316.98,0.1892863903085368,0,5000,0.19752968847751617,418.2108459472656,0.44162247650944275,0.01
3.0,0.01,15.849,316.98,0.1892863903085368,0,10000,0.2691745162010193,438.5209655761719,0.6394083170527491,0.01
3.0,0.01,15.849,316.98,0.1892863903085368,0,15000,0.3411681056022644,447.802490234375,0.7769094799516234,0.01
3.0,0.01,15.849,316.98,0.1892863903085368,0,20000,0.3280295729637146,436.79107666015625,0.9216671318262164,0.01
3.0,0.01,15.849,316.98,0.1892863903085368,0,25000,0.4042451083660126,460.26873779296875,1.0,0.01
3.0,0.0251,15.849,316.98,0.1892863903085368,0,1,nan,nan,nan,10.0
3.0,0.0251,15.849,316.98,0.1892863903085368,0,5000,nan,nan,nan,10.0
3.0,0.0251,15.849,316.98,0.1892863903085368,0,10000,nan,nan,nan,10.0
3.0,0.0251,15.849,316.98,0.1892863903085368,0,15000,nan,nan,nan,10.0
3.0,0.0251,15.849,316.98,0.1892863903085368,0,20000,nan,nan,nan,10.0
3.0,0.0251,15.849,316.98,0.1892863903085368,0,25000,nan,nan,nan,10.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,1,nan,nan,nan,100.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,5000,nan,nan,nan,100.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,10000,nan,nan,nan,100.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,15000,nan,nan,nan,100.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,20000,nan,nan,nan,100.0
3.0,0.0251,2.51189,50.23780000000001,1.19431981496005,0,25000,nan,nan,nan,100.0
3.0,0.0251,100.0,2000.0,0.03,0,1,nan,nan,nan,0.01
3.0,0.0251,100.0,2000.0,0.03,0,5000,nan,nan,nan,0.01
3.0,0.0251,100.0,2000.0,0.03,0,10000,nan,nan,nan,0.01
3.0,0.0251,100.0,2000.0,0.03,0,15000,nan,nan,nan,0.01
3.0,0.0251,100.0,2000.0,0.03,0,20000,nan,nan,nan,0.01
3.0,0.0251,100.0,2000.0,0.03,0,25000,nan,nan,nan,0.01
1.0,0.0251,0.01,0.2,300.0,0,1,nan,nan,nan,0.3162
1.0,0.0251,0.01,0.2,300.0,0,5000,nan,nan,nan,0.3162
1.0,0.0251,0.01,0.2,300.0,0,10000,nan,nan,nan,0.3162
1.0,0.0251,0.01,0.2,300.0,0,15000,nan,nan,nan,0.3162
