eps_mult,epsilon,eps_modified,barrel,barrel_index,hondadeltaj,area_diff,area
1.0,1.2,1.2,c,10,nan,0.05066248385660007,0.20187051259783786
1.0,1.2,1.2,C1,11,0.00029639495187439024,0.12470765257009248,0.05533902082797862
1.0,1.2,1.2,C2,12,0.0017019676743075252,0.07482459154205548,0.10054554488463732
1.0,1.2,1.2,C3,13,0.0033538187853991985,0.03819171859959082,0.13717841782710213
1.0,1.2,1.2,C4,14,0.025052499026060104,0.005455959799941546,0.16211994834112073
1.0,1.2,1.2,C5,15,0.010615133680403233,0.025720953342581572,0.15198745156980067
1.0,1.2,1.2,C6,16,0.03137212246656418,0.036632872942464666,0.10833977317026813
1.0,1.2,1.2,C7,17,nan,0.07014805457067702,0.11847226994158819
1.0,1.2,1.2,C8,18,nan,0.03117691314252312,0.06780978608498792
1.0,1.2,1.2,C9,19,nan,0.2260326202832926,0.2564301105972535
0.98,1.2,1.176,c,10,nan,0.04910363819947391,0.2003116669407117
0.98,1.2,1.176,C1,11,0.0007073665037751198,0.12470765257009248,0.05533902082797862
0.98,1.2,1.176,C2,12,0.0010434394935145974,0.07560401437061856,0.09976612205607424
0.98,1.2,1.176,C3,13,0.0024836906231939793,0.03429460445677543,0.14107553196991754
0.98,1.2,1.176,C4,14,0.018145456910133362,0.003117691314252312,0.15354629722692684
0.98,1.2,1.176,C5,15,0.014862295240163803,0.03039749031396004,0.15666398854117916
0.98,1.2,1.176,C6,16,0.02713889628648758,0.04520652405665852,0.11691342428446203
0.98,1.2,1.176,C7,17,nan,0.06858920891355086,0.11691342428446203
0.98,1.2,1.176,C8,18,nan,0.021044416371203106,0.05767728931366786
0.98,1.2,1.176,C9,19,nan,0.22837088876898184,0.25876837908294276
0.76,1.2,0.9119999999999999,c,10,nan,0.039750564256716976,0.19095859299795473
0.76,1.2,0.9119999999999999,C1,11,0.0010590115562081337,0.13639899499853864,0.0436476783995324
0.76,1.2,0.9119999999999999,C2,12,0.0018872622167691588,0.10054554488463706,0.07482459154205565
0.76,1.2,0.9119999999999999,C3,13,0.004551023244857788,0.051441906685163144,0.12392822974152976
0.76,1.2,0.9119999999999999,C4,14,0.017849447205662727,0.013250188085572325,0.14341380045560678
0.76,1.2,0.9119999999999999,C5,15,0.009494449943304062,0.0,0.126266498227219
0.76,1.2,0.9119999999999999,C6,16,0.014385457150638103,0.010132496771320013,0.08183939699912338
0.76,1.2,0.9119999999999999,C7,17,5.456966881642875e-16,0.058456712142230846,0.10678092751314197
0.76,1.2,0.9119999999999999,C8,18,nan,0.021823839199766184,0.05845671214223094
0.76,1.2,0.9119999999999999,C9,19,nan,0.2190178148262249,0.2494153051401858
0.86,1.2,1.032,c,10,nan,0.0459859468852216,0.19719397562645938
0.86,1.2,1.032,C1,11,0.00036375958006829023,0.12860476671290785,0.05144190668516321
0.86,1.2,1.032,C2,12,0.0014168621273711324,0.09119247094188011,0.08417766548481262
0.86,1.2,1.032,C3,13,0.0024207360111176968,0.04052998708528005,0.1348401493414129
0.86,1.2,1.032,C4,14,0.019592585042119026,0.013250188085572325,0.14341380045560678
0.86,1.2,1.032,C5,15,0.012614917941391468,0.00779422828563078,0.1340607265128498
0.86,1.2,1.032,C6,16,0.015665756538510323,0.03741229577102774,0.10911919599883121
0.86,1.2,1.032,C7,17,5.456969528620835e-16,0.05611844365654161,0.10444265902745273
0.86,1.2,1.032,C8,18,nan,0.019485570714076948,0.0561184436565417
0.86,1.2,1.032,C9,19,nan,0.2229149289690403,0.2533124192830012
0.44,1.2,0.528,c,10,nan,0.032735758799649274,0.183943787540887
0.44,1.2,0.528,C1,11,0.0005876001087017357,0.15822283419830482,0.021823839199766177
0.44,1.2,0.528,C2,12,0.0022941597271710634,0.12704592105578172,0.04832421537091089
0.44,1.2,0.528,C3,13,0.005340347066521645,0.08651593397050165,0.0888542024561911
0.44,1.2,0.528,C4,14,0.015570538118481636,0.05378017517085238,0.10288381337032657
0.44,1.2,0.528,C5,15,0.009053205139935017,0.04676536971378468,0.07950112851343413
0.44,1.2,0.528,C6,16,0.007708800490945578,0.003117691314252312,0.068589208913551
0.44,1.2,0.528,C7,17,nan,0.010911919599883092,0.059236134970794024
0.44,1.2,0.528,C8,18,nan,0.00779422828563078,0.044427101228095484
0.44,1.2,0.528,C9,19,nan,0.22681204311185568,0.2572095334258166
0.8,1.2,0.96,c,10,nan,0.04442710122809544,0.19563512996933322
0.8,1.2,0.96,C1,11,0.00019906117813661695,0.1379578406556648,0.04208883274240624
0.8,1.2,0.96,C2,12,0.0015032783849164844,0.09431016225613244,0.0810599741705603
0.8,1.2,0.96,C3,13,0.0025890497490763664,0.04520652405665852,0.1301636123700344
0.8,1.2,0.96,C4,14,0.012120251543819904,0.019485570714076948,0.13717841782710213
0.8,1.2,0.96,C5,15,0.010314549319446087,0.00389711414281539,0.1301636123700344
0.8,1.2,0.96,C6,16,0.021119022741913795,0.032735758799649274,0.10444265902745273
0.8,1.2,0.96,C7,17,nan,0.04754479254234775,0.09586900791325884
0.8,1.2,0.96,C8,18,nan,0.021044416371203106,0.05767728931366786
0.8,1.2,0.96,C9,19,nan,0.229929734426108,0.2603272247400689
0.9,1.2,1.08,c,10,nan,0.0459859468852216,0.19719397562645938
0.9,1.2,1.08,C1,11,0.0004557814390864223,0.13406072651284942,0.045985946885221646
0.9,1.2,1.08,C2,12,0.0013567052083089948,0.08495708831337549,0.09041304811331727
0.9,1.2,1.08,C3,13,0.0025389734655618668,0.04364767839953237,0.13172245802716057
0.9,1.2,1.08,C4,14,0.016727201640605927,0.0046765369713784675,0.16134052551255765
0.9,1.2,1.08,C5,15,0.011704928241670132,0.010911919599883092,0.13717841782710213
