eps_mult,epsilon,eps_modified,barrel,hondadelta,area_diff,area
0.56,1.2,0.672,B3,0.004760815761983395,0.038971141428153895,0.09508958508469575
0.56,1.2,0.672,C2,0.015948757529258728,0.04286825557096929,0.13250188085572365
0.56,1.2,0.672,C3,4.476920366869308e-05,0.16835533096962485,0.0070148054570677
0.56,1.2,0.672,C4,0.030662085860967636,0.08183939699912318,0.23850338554030268
0.56,1.2,0.672,D2,0.006997955031692982,0.12470765257009248,0.10678092751314197
0.56,1.2,0.672,D3,0.0057516032829880714,0.12158996125584016,0.11457515579877278
0.44,1.2,0.528,B3,0.0034217520151287317,0.036632872942464666,0.097427853570385
0.44,1.2,0.528,C2,0.004520021844655275,0.035853450113901585,0.13951668631279138
0.44,1.2,0.528,C3,nan,0.17537013642669255,0.0
0.44,1.2,0.528,C4,0.030193503946065903,0.07482459154205548,0.23148858008323495
0.44,1.2,0.528,D2,0.007921640761196613,0.1309430351985971,0.10054554488463732
0.44,1.2,0.528,D3,0.007695031818002462,0.1130163101416463,0.12314880691296667
0.6,1.2,0.72,B3,0.0025679583195596933,0.035853450113901585,0.09820727639894808
0.6,1.2,0.72,C2,0.00966992974281311,0.04208883274240621,0.13328130368428673
0.6,1.2,0.72,C3,0.001209051813930273,0.16134052551255715,0.014029610914135399
0.6,1.2,0.72,C4,0.029582800343632698,0.07092747739924009,0.22759146594041954
0.6,1.2,0.72,D2,0.005616840440779924,0.13172245802716018,0.09976612205607424
0.6,1.2,0.72,D3,0.007138917222619057,0.11379573297020938,0.12236938408440359
0.72,1.2,0.864,B3,0.005433034151792526,0.04130940991384313,0.09275131659900651
0.72,1.2,0.864,C2,0.009032036177814007,0.052221329513726225,0.12314880691296667
0.72,1.2,0.864,C3,0.001662715571001172,0.13406072651284942,0.04130940991384316
0.72,1.2,0.864,C4,0.026024164631962776,0.057677289313667765,0.21434127785484716
0.72,1.2,0.864,D2,0.004967967513948679,0.12704592105578172,0.10444265902745273
0.72,1.2,0.864,D3,0.007333326619118452,0.11847226994158785,0.1176928471130251
0.86,1.2,1.032,B3,0.0036893747746944427,0.04754479254234775,0.08651593397050186
0.86,1.2,1.032,C2,0.0026936798822134733,0.06235382628504624,0.11301631014164662
0.86,1.2,1.032,C3,0.00029898303910158575,0.08573651114193857,0.08963362528475419
0.86,1.2,1.032,C4,0.021610653027892113,0.035853450113901585,0.1925174386550809
0.86,1.2,1.032,D2,0.006606079638004303,0.1379578406556648,0.09353073942756959
0.86,1.2,1.032,D3,0.0066091138869524,0.12081053842727708,0.11535457862733586
0.68,1.2,0.8160000000000001,B3,0.004500753246247768,0.033515181628212355,0.10054554488463732
0.68,1.2,0.8160000000000001,C2,0.005687599536031485,0.051441906685163144,0.12392822974152976
0.68,1.2,0.8160000000000001,C3,0.0008983927546069026,0.13717841782710172,0.038191718599590835
0.68,1.2,0.8160000000000001,C4,0.02734456956386566,0.057677289313667765,0.21434127785484716
0.68,1.2,0.8160000000000001,D2,0.00641648517921567,0.1309430351985971,0.10054554488463732
0.68,1.2,0.8160000000000001,D3,0.007216287776827812,0.11535457862733553,0.12081053842727743
0.76,1.2,0.9119999999999999,B3,0.004059608560055494,0.039750564256716976,0.09431016225613267
0.76,1.2,0.9119999999999999,C2,0.0043464647606015205,0.04988306102803699,0.12548707539865592
0.76,1.2,0.9119999999999999,C3,0.000903263979125768,0.12470765257009248,0.05066248385660013
0.76,1.2,0.9119999999999999,C4,0.025964755564928055,0.05611844365654161,0.212782432197721
0.76,1.2,0.9119999999999999,D2,0.008160474710166454,0.12470765257009248,0.10678092751314197
0.76,1.2,0.9119999999999999,D3,0.006592884194105864,0.12548707539865556,0.11067804165595738
0.94,1.2,1.128,B3,0.004386780317872763,0.04754479254234775,0.08651593397050186
0.94,1.2,1.128,C2,0.0025419797748327255,0.07170690022780317,0.10366323619888965
0.94,1.2,1.128,C3,0.002343315863981843,0.048324215370910834,0.12704592105578208
0.94,1.2,1.128,C4,0.019937394186854362,0.010911919599883092,0.1675759081410623
0.94,1.2,1.128,D2,0.00779747823253274,0.13328130368428634,0.09820727639894808
0.94,1.2,1.128,D3,0.005821622908115387,0.12626649822721864,0.1098986188273943
0.64,1.2,0.768,B3,0.004181471187621355,0.04520652405665852,0.0888542024561911
0.64,1.2,0.768,C2,0.009744219481945038,0.04364767839953237,0.13172245802716057
0.64,1.2,0.768,C3,0.0009344159625470638,0.1480903374269848,0.02727979899970772
0.64,1.2,0.768,C4,0.026510071009397507,0.06547151759929855,0.22213550614047797
0.64,1.2,0.768,D2,0.004565976560115814,0.13016361237003402,0.1013249677132004
0.64,1.2,0.768,D3,0.007399374153465033,0.11613400145589861,0.12003111559871435
0.96,1.2,1.152,B3,0.005169379059225321,0.04910363819947391,0.0849570883133757
0.96,1.2,1.152,C2,0.0014294997090473771,0.07170690022780317,0.10366323619888965
